model - 1589265690,1589265690.984,0.52,0.25,0.52,0.25
model - 1589265690,1589265691.504,0.46,0.249,0.46,0.249
model - 1589265690,1589265691.971,0.63,0.243,0.63,0.243
model - 1589265690,1589265692.434,0.63,0.231,0.63,0.231
model - 1589265690,1589265692.897,0.7,0.21,0.7,0.21
model - 1589265690,1589265693.357,0.62,0.214,0.62,0.214
model - 1589265690,1589265693.824,0.69,0.205,0.69,0.205
model - 1589265690,1589265694.306,0.75,0.176,0.75,0.176
model - 1589265690,1589265694.774,0.84,0.152,0.84,0.152
model - 1589265690,1589265695.264,0.75,0.168,0.75,0.168
model - 1589265690,1589265695.733,0.82,0.149,0.82,0.149
model - 1589265690,1589265696.205,0.66,0.193,0.66,0.193
model - 1589265690,1589265696.68,0.78,0.139,0.78,0.139
model - 1589265690,1589265697.155,0.78,0.151,0.78,0.151
model - 1589265690,1589265697.649,0.79,0.135,0.79,0.135
model - 1589265690,1589265698.141,0.84,0.124,0.84,0.124
model - 1589265690,1589265698.639,0.8,0.129,0.8,0.129
model - 1589265690,1589265699.12,0.81,0.128,0.81,0.128
model - 1589265690,1589265699.59,0.89,0.104,0.89,0.104
model - 1589265690,1589265700.115,0.87,0.094,0.87,0.094
model - 1589265690,1589265700.623,0.81,0.127,0.81,0.127
model - 1589265690,1589265701.152,0.84,0.11,0.84,0.11
model - 1589265690,1589265701.671,0.91,0.074,0.91,0.074
model - 1589265690,1589265702.195,0.84,0.106,0.84,0.106
model - 1589265690,1589265702.672,0.86,0.091,0.86,0.091
model - 1589265690,1589265703.155,0.82,0.117,0.82,0.117
model - 1589265690,1589265703.639,0.85,0.1,0.85,0.1
model - 1589265690,1589265704.146,0.84,0.107,0.84,0.107
model - 1589265690,1589265704.657,0.85,0.102,0.85,0.102
model - 1589265690,1589265705.181,0.89,0.094,0.89,0.094
model - 1589265690,1589265705.69,0.91,0.078,0.91,0.078
model - 1589265690,1589265706.189,0.89,0.086,0.89,0.086
model - 1589265690,1589265706.69,0.83,0.112,0.83,0.112
model - 1589265690,1589265707.323,0.79,0.144,0.79,0.144
model - 1589265690,1589265708.084,0.88,0.073,0.88,0.073
model - 1589265690,1589265708.849,0.87,0.09,0.87,0.09
model - 1589265690,1589265709.601,0.91,0.084,0.91,0.084
model - 1589265690,1589265710.377,0.89,0.082,0.89,0.082
model - 1589265690,1589265711.147,0.91,0.068,0.91,0.068
model - 1589265690,1589265711.636,0.91,0.061,0.91,0.061
model - 1589265690,1589265712.14,0.9,0.073,0.9,0.073
model - 1589265690,1589265712.192,1.0,0.049,1.0,0.049
model - 1589265690,1589265712.746,0.91,0.07,0.91,0.07
model - 1589265690,1589265713.269,0.94,0.037,0.94,0.037
model - 1589265690,1589265714.043,0.94,0.061,0.94,0.061
model - 1589265690,1589265714.541,0.96,0.041,0.96,0.041
model - 1589265690,1589265715.054,0.93,0.047,0.93,0.047
model - 1589265690,1589265715.562,0.91,0.066,0.91,0.066
model - 1589265690,1589265716.072,0.91,0.082,0.91,0.082
model - 1589265690,1589265716.828,0.93,0.049,0.93,0.049
model - 1589265690,1589265717.595,0.94,0.039,0.94,0.039
model - 1589265690,1589265718.367,0.93,0.056,0.93,0.056
model - 1589265690,1589265719.129,0.94,0.046,0.94,0.046
model - 1589265690,1589265719.909,0.92,0.051,0.92,0.051
model - 1589265690,1589265720.682,0.91,0.053,0.91,0.053
model - 1589265690,1589265721.175,0.96,0.034,0.96,0.034
model - 1589265690,1589265721.689,0.9,0.074,0.9,0.074
model - 1589265690,1589265722.199,0.91,0.07,0.91,0.07
model - 1589265690,1589265722.706,0.92,0.058,0.92,0.058
model - 1589265690,1589265723.457,0.97,0.037,0.97,0.037
model - 1589265690,1589265724.205,0.9,0.063,0.9,0.063
model - 1589265690,1589265724.967,0.95,0.041,0.95,0.041
model - 1589265690,1589265725.739,0.94,0.048,0.94,0.048
model - 1589265690,1589265726.521,0.92,0.063,0.92,0.063
model - 1589265690,1589265727.291,0.92,0.048,0.92,0.048
model - 1589265690,1589265728.061,0.86,0.096,0.86,0.096
model - 1589265690,1589265728.833,0.96,0.035,0.96,0.035
model - 1589265690,1589265729.605,0.91,0.065,0.91,0.065
model - 1589265690,1589265730.37,0.89,0.095,0.89,0.095
model - 1589265690,1589265731.129,0.93,0.066,0.93,0.066
model - 1589265690,1589265731.919,0.88,0.074,0.88,0.074
model - 1589265690,1589265732.67,0.92,0.087,0.92,0.087
model - 1589265690,1589265733.483,0.89,0.068,0.89,0.068
model - 1589265690,1589265734.242,0.97,0.032,0.97,0.032
model - 1589265690,1589265735.002,0.94,0.042,0.94,0.042
model - 1589265690,1589265735.774,0.92,0.052,0.92,0.052
model - 1589265690,1589265736.546,0.91,0.061,0.91,0.061
model - 1589265690,1589265737.475,0.9,0.076,0.9,0.076
model - 1589265690,1589265738.238,0.96,0.034,0.96,0.034
model - 1589265690,1589265738.989,0.9,0.075,0.9,0.075
model - 1589265690,1589265739.767,0.94,0.051,0.94,0.051
model - 1589265690,1589265740.529,0.94,0.048,0.94,0.048
model - 1589265690,1589265741.291,0.96,0.041,0.96,0.041
model - 1589265690,1589265741.363,1.0,0.004,1.0,0.004
model-1589266284,1589266285.277,0.55,0.249,0.55,0.249
model-1589266284,1589266285.991,0.56,0.244,0.56,0.244
model-1589266284,1589266286.713,0.5,0.252,0.5,0.252
model-1589266284,1589266287.422,0.52,0.242,0.52,0.242
model-1589266284,1589266288.207,0.75,0.239,0.75,0.239
model-1589266284,1589266289.043,0.83,0.233,0.83,0.233
model-1589266284,1589266289.813,0.75,0.218,0.75,0.218
model-1589266284,1589266290.547,0.82,0.2,0.82,0.2
model-1589266284,1589266291.263,0.66,0.208,0.66,0.208
model-1589266284,1589266292.003,0.81,0.173,0.81,0.173
model-1589266284,1589266292.722,0.74,0.174,0.74,0.174
model-1589266284,1589266293.461,0.87,0.143,0.87,0.143
model-1589266284,1589266294.19,0.7,0.179,0.7,0.179
model-1589266284,1589266294.925,0.85,0.116,0.85,0.116
model-1589266284,1589266295.645,0.88,0.118,0.88,0.118
model-1589266284,1589266296.375,0.74,0.163,0.74,0.163
model-1589266284,1589266297.114,0.91,0.082,0.91,0.082
model-1589266284,1589266297.844,0.86,0.108,0.86,0.108
model-1589266284,1589266298.572,0.69,0.212,0.69,0.212
model-1589266284,1589266299.302,0.81,0.116,0.81,0.116
model-1589266284,1589266300.01,0.82,0.135,0.82,0.135
model-1589266284,1589266300.788,0.81,0.129,0.81,0.129
model-1589266284,1589266301.559,0.79,0.128,0.79,0.128
model-1589266284,1589266302.309,0.88,0.086,0.88,0.086
model-1589266284,1589266303.08,0.91,0.077,0.91,0.077
model-1589266284,1589266303.827,0.95,0.047,0.95,0.047
model-1589266284,1589266304.587,0.87,0.085,0.87,0.085
model-1589266284,1589266305.336,0.87,0.106,0.87,0.106
model-1589266284,1589266306.105,0.92,0.062,0.92,0.062
model-1589266284,1589266306.891,0.87,0.096,0.87,0.096
model-1589266284,1589266307.886,0.85,0.095,0.85,0.095
model-1589266284,1589266308.644,0.89,0.066,0.89,0.066
model-1589266284,1589266309.408,0.88,0.077,0.88,0.077
model-1589266284,1589266310.169,0.92,0.064,0.92,0.064
model-1589266284,1589266310.669,0.94,0.061,0.94,0.061
model-1589266284,1589266311.183,0.95,0.06,0.95,0.06
model-1589266284,1589266311.708,0.91,0.073,0.91,0.073
model-1589266284,1589266312.232,0.93,0.059,0.93,0.059
model-1589266393,1589266397.031,0.5,0.25002,0.5,0.25002
model-1589266393,1589266397.748,0.52,0.24583,0.52,0.24583
model-1589266393,1589266398.519,0.53,0.24091,0.53,0.24091
model-1589266393,1589266399.231,0.62,0.22647,0.62,0.22647
model-1589266393,1589266399.986,0.57,0.2272,0.57,0.2272
model-1589266393,1589266400.739,0.89,0.20419,0.89,0.20419
model-1589266393,1589266401.504,0.83,0.18963,0.83,0.18963
model-1589266393,1589266402.249,0.77,0.17203,0.77,0.17203
model-1589266393,1589266402.982,0.7,0.18284,0.7,0.18284
model-1589266393,1589266403.728,0.87,0.1387,0.87,0.1387
model-1589266393,1589266404.233,0.72,0.18392,0.72,0.18392
model-1589266393,1589266404.74,0.83,0.11283,0.83,0.11283
model-1589266393,1589266405.25,0.76,0.16371,0.76,0.16371
model-1589266393,1589266405.757,0.78,0.14593,0.78,0.14593
model-1589266393,1589266406.51,0.78,0.14296,0.78,0.14296
model-1589266393,1589266407.272,0.82,0.12815,0.82,0.12815
model-1589266393,1589266408.044,0.92,0.07314,0.92,0.07314
model-1589266393,1589266408.797,0.87,0.09797,0.87,0.09797
model-1589266393,1589266409.563,0.86,0.10305,0.86,0.10305
model-1589266393,1589266410.337,0.87,0.09809,0.87,0.09809
model-1589266393,1589266411.136,0.91,0.07603,0.91,0.07603
model-1589266393,1589266411.935,0.85,0.10572,0.85,0.10572
model-1589266393,1589266412.693,0.91,0.07642,0.91,0.07642
model-1589266393,1589266413.496,0.94,0.06288,0.94,0.06288
model-1589266393,1589266414.244,0.9,0.06649,0.9,0.06649
model-1589266393,1589266415.004,0.93,0.05939,0.93,0.05939
model-1589266393,1589266415.764,0.95,0.04625,0.95,0.04625
model-1589266393,1589266416.534,0.92,0.05831,0.92,0.05831
model-1589266393,1589266417.299,0.95,0.04139,0.95,0.04139
model-1589266393,1589266418.067,0.95,0.05367,0.95,0.05367
model-1589266393,1589266418.819,0.96,0.04923,0.96,0.04923
model-1589266393,1589266419.571,0.94,0.05051,0.94,0.05051
model-1589266393,1589266420.06,0.91,0.06051,0.91,0.06051
model-1589266393,1589266420.558,0.94,0.04784,0.94,0.04784
model-1589266393,1589266421.08,0.94,0.06477,0.94,0.06477
model-1589266393,1589266421.609,0.93,0.05422,0.93,0.05422
model-1589266393,1589266422.349,0.83,0.12296,0.83,0.12296
model-1589266393,1589266423.114,0.95,0.03623,0.95,0.03623
model-1589266393,1589266423.892,0.83,0.12882,0.83,0.12882
model-1589266393,1589266424.684,0.84,0.12908,0.84,0.12908
model-1589266393,1589266425.473,0.92,0.06498,0.92,0.06498
model-1589266393,1589266425.537,1.0,0.01383,1.0,0.01383
model-1589266393,1589266426.372,0.87,0.10265,0.87,0.10265
model-1589266393,1589266427.133,0.89,0.07436,0.89,0.07436
model-1589266393,1589266427.893,0.9,0.07481,0.9,0.07481
model-1589266393,1589266428.683,0.85,0.1052,0.85,0.1052
model-1589266393,1589266429.451,0.88,0.10779,0.88,0.10779
model-1589266393,1589266430.208,0.92,0.06212,0.92,0.06212
model-1589266393,1589266430.957,0.9,0.08008,0.9,0.08008
model-1589266393,1589266431.702,0.92,0.05618,0.92,0.05618
model-1589266393,1589266432.442,0.94,0.04043,0.94,0.04043
model-1589266393,1589266433.294,0.94,0.04844,0.94,0.04844
model-1589266393,1589266434.08,0.9,0.07413,0.9,0.07413
model-1589266393,1589266434.841,0.94,0.03252,0.94,0.03252
model-1589266393,1589266435.608,0.93,0.04802,0.93,0.04802
model-1589266393,1589266436.359,0.91,0.05497,0.91,0.05497
model-1589266393,1589266436.846,0.98,0.02313,0.98,0.02313
model-1589266393,1589266437.344,0.92,0.05818,0.92,0.05818
model-1589266393,1589266437.84,0.96,0.02992,0.96,0.02992
model-1589266393,1589266438.348,0.93,0.04755,0.93,0.04755
model-1589266393,1589266439.09,0.93,0.03516,0.93,0.03516
model-1589266393,1589266439.851,0.97,0.02748,0.97,0.02748
model-1589266393,1589266440.601,0.95,0.03396,0.95,0.03396
model-1589266393,1589266441.355,0.98,0.02934,0.98,0.02934
model-1589266393,1589266442.12,0.98,0.03299,0.98,0.03299
model-1589266393,1589266442.88,0.98,0.02616,0.98,0.02616
model-1589266393,1589266443.65,0.94,0.02879,0.94,0.02879
